NK_cell	CD4	CD8	memory_B_cell	naive_B_cell	Neutrophil	Monocyte	Plasmocyte
KANSL1	1.770713	1.265299	1.721359	1.389844	1.271856	0.7153568	0.9296164	0.8264455
KCNN3	0.003768807	0.007259594	0.003894314	0.0849248	0.009730941	0	0	1.14132474
KCNQ5	0.28677756	0.1417197	0.32222376	0.3322839	0.45448264	0.01729783	0.01415617	0.4015927
KDM6A	1.045805	0.8015782	0.9232722	0.8182243	0.7639174	1.229815	0.912502	0.611514
KIF13B	0.7734148	0.2105681	0.6672615	0.4125571	0.3168784	0.1520482	1.0099932	0.8099468
KLF12	1.313992	0.8880593	1.19972	0.7770405	0.6154705	0	0.01938246	0.3375229
KLRB1	2.779278	0.6375922	2.257906	0.04022124	0.0157605	0.00396269	0.02848275	0.04569143
KLRC2	0.6544571	0	0.9950147	0	0	0.00962928	0.0107259	0.01528759
KLRD1	4.053244	0.02245354	3.609175	0.06003299	0.04251542	0.01189313	0.04537427	0.06863589
KPNA4	1.078968	0.6638392	1.0019221	0.9873292	0.8331199	0.7634223	0.7490837	0.7654451
LAMTOR4	1.3858996	1.239506	1.336633	1.289804	1.225626	2.656366	2.2733596	1.070026
LAPTM5	1.1457031	1.2726545	1.1532957	2.115096	2.3315868	1.8219887	2.24463	0.9137278
LARS1	0.9413839	0.9284957	0.9783147	0.996123	0.9389276	0.1449092	0.8195824	0.9565462
LBH	1.3166907	1.1448017	1.235271	1.3554068	1.533417	0	0.02092835	0.1093595
LCK	1.4884778	1.4149271	1.6059546	0.1197442	0.1373862	0.01968242	0.02635961	0.02897951
LCP2	0.9591451	0.7906465	0.9721711	0.1481895	0.05724853	0.7164922	0.9289458	0.09021108
LDHB	0.5223999	2.05753	0.6505763	0.9136362	0.4144999	0.02791505	0.6031283	1.478674
LEF1	0.2299311	2.45538088	0.4137582	0.06010671	0.02165902	0.01999932	0.01115215	0.1278876
LEPROTL1	0.9172452	2.0150091	1.0834906	0.2952554	0.2735237	0.3737148	0.4021256	0.4889833
LGALS1	0.5193632	0.4089648	0.5130936	0.5821788	0.1653997	0.405203	2.346648	1.500485
LGALS9	0.2929256	0.1645567	0.2470129	0.5116848	0.4426052	0.1012383	1.663485	0.0481371
LINC00653	1.066497	0.9292444	1.037215	0.7297436	1.487841	0.01057082	0.1301987	0.3682333
LINC00861	1.840105	2.2317038	1.720776	0.06130926	0.03487159	0.01015724	0.01609002	0.01857524
LINC02352	0.1000664	0.06037205	0.02355918	0.06816474	0.1297016	0.06342495	0.05641867	0
LINC02397	0.02533959	0.009567206	0.008003594	1.400878	2.201925	0.005176809	0.01711322	0.2487603
LINC02446	0.03035411	0.07291208	0.3741931	0	0.01477105	0	0	0
LITAF	1.742632	0.9097219	1.62515	0.6256918	0.35456	1.906269	0.6957073	0.6766764
LMAN2	1.0268384	0.625256	1.0251701	0.5361862	0.4290903	0.6218855	0.9982729	2.049391
LPAR5	0.3103621	0.1175775	0.2337442	0.2391194	0.5463126	0.04206478	0.03336147	0.0643321
LRP1	0.04525076	0.04241145	0.02820021	0.03886738	0.02659734	0	1.202495	0.03528646
LSM14A	1.213589	1.214355	1.300031	1.299006	1.089225	0.6503816	0.9597045	1.205959
LTA4H	0.4182543	0.4886401	0.4346989	0.8077668	0.8319377	1.605106	2.968333	0.5705114
LTB	0.2286908	2.1976976	0.4408358	2.6947278	2.2546172	0.818245	0.1489435	0.05039873
LY86	0.057581	0.03427503	0.04222867	2.1804301	1.4274657	0.02293533	1.3510657	0.05199527
LYAR	1.8614818	0.4542896	1.9984248	0.1438135	0.1609424	0.039637	0.6616195	0.8372254
LYRM2	0.9280179	0.777507	0.8884066	0.9222884	0.9494995	0.1856167	0.7215586	0.5817313
LYZ	0.1887602	0.1481711	0.1508597	0.08105122	0.05441717	2.038842	3.547789	0.2966075
MAF	0.2843392	0.7155897	0.2688355	0.006579442	0.005311844	0.005169825	0.1284575	0.02109565
MAFB	0.06808099	0.01073939	0.03887633	0.0350428	0.006658122	0.03504344	2.024294	0.06078237
MAN1A2	0.9620032	0.8272523	0.9913184	0.6151064	0.7329265	0.5729983	0.9099756	1.304782
MANBA	0.4664374	0.3581253	0.4105239	0.9115514	0.9666645	0.7174085	1.219305	0.2536917
MAPRE2	1.076214	0.3712591	0.9640267	0.6473839	0.4302821	0.0904352	0.4355631	0.1987306
MARCHF1	0.08980229	0.05235932	0.07416371	2.3506986	2.643731	0.002983489	2.3383694	0.07617157
MARCKS	0.04956837	0.02411345	0.04453016	1.357742	0.548119	1.1118853	0.3759731	0.4471246
MARVELD1	0.02333765	0.01362555	0.01251214	0.03070508	0.006946621	0.05619976	1.0634369	0.01930318
MBP	2.498378	1.424051	2.378062	0.8215409	0.8321759	0.8602379	0.8779821	0.337034
MCOLN2	0.04063582	0.25182935	0.19050729	1.53884106	0.1901508	0	0.01347773	0.03992885
MCTP2	2.004454	0.1419228	1.681476	0.3536608	0.7545887	1.371193	0.4760958	0.3252675
MDH1	0.5458215	0.570767	0.565479	0.5195252	0.4009354	0.1364303	0.5945169	1.1140707
MED10	1.3582323	1.1319265	1.3711944	1.3303736	1.2370212	0.2386932	0.5885576	0.9571381
MFSD1	0.385265	0.2049187	0.3674194	0.3347298	0.3008107	0.7562187	1.7923159	0.2997246
MGST1	0.02466363	0.01792092	0.01133185	0.006321577	0	0.06552313	0.9306062	0.02009311
MIER1	1.1032967	0.9152767	1.047285	0.8187297	0.7665333	1.137643	1.050981	0.7083429
MIR22HG	0.2059719	0.09368105	0.1416418	0.07675225	0.03673002	0.3151978	0.8366581	0.2325251
MORC3	1.047845	0.9260119	1.029287	0.9353303	1.168533	0.3894984	0.6750508	0.3706817
MPHOSPH10	0.7863741	0.7291313	0.8720213	0.7667919	0.6955646	0.1055176	0.4083989	1.0796778
MPP1	0.2927883	0.2572756	0.2692998	0.22989	0.2000196	1.099696	1.464903	0.1581624
MRPS12	0.7077619	0.5611663	0.6445455	0.6157016	0.3594561	0.1174831	0.8095598	1.615711
MS4A1	0.03586193	0.01972798	0.0608629	3.4391	3.099643	0.002398177	0.02636462	0.05661111
MS4A6A	0.08943232	0.05709641	0.05796749	0.05608231	0.03444827	0.7716637	2.89356	0.05495556
MTF1	0.3099272	0.2722865	0.324812	0.3547035	0.2748686	1.1269234	0.7462187	0.1977348
MTF2	0.7704732	0.6438626	0.7916758	0.7418568	0.8372269	0.5150223	0.5674352	0.7337348
MTSS1	1.2482518	0.1549848	0.9178953	1.7409075	1.855755	0.006137833	0.9543546	0.08525707
MYADM	0.6921594	0.3607767	0.7188364	0.26488	0.6671312	1.177108	0.9602399	0.3385912
MYBL1	2.6855848	0.3524619	2.5764944	0.02277307	0.0405527	0	0.02169983	0.07916443
MYL12A	2.371739	2.425083	2.350001	1.733959	1.396028	2.589588	1.935242	1.281254
MYLIP	1.165621	1.0339737	1.17652	0.738843	0.8385769	0.4594114	0.3325189	0.3244928
MYO1D	0.08175281	0.05887877	0.08491793	0.1652199	0.05954321	0.01148476	0.01063379	1.046365
MYOF	0.01417794	0.006972949	0.0116424	0	0.001965428	0.004474429	0.673694214	0.02318947
MYOM2	4.0104422	0.1218739	2.7392292	0	0.07906134	0.03726479	0.0327754	0.04629007
MZB1	0.1198499	0.07985783	0.09294326	0.7043828	0.5429721	0.05182939	0.0605868	5.58675697
N4BP1	0.7440975	0.7824073	0.784919	0.4830414	0.5008949	0.9499328	0.6311003	0.5711427
NAPSB	0.03533094	0.01117254	0.02333045	2.252253	1.038522	0	0.4640598	0.0151999
NCALD	1.287082	0.1643436	1.116456	0.01795394	0.01245181	0.01245062	0.00370684	0.08758843
NCF2	0.1705596	0.1065453	0.1226597	0.2270683	0.07238373	2.3792872	2.8626022	0.2195408
NCL	2.3180147	1.8087348	2.2469542	1.9862981	1.899159	0.3353314	1.4023944	2.6283666
NCR1	3.724519	0.01221001	0.4691285	0	0	0.07399577	0.03509958	0
NDUFB8	1.0823141	1.0608131	1.1082382	0.9936692	0.6629322	0.453691	1.037318	1.7102708
NDUFC2	0.8500015	0.5912431	0.8012417	0.5423424	0.4630963	0.4360568	0.8546737	1.426608
NDUFV1	0.6785538	0.5133599	0.6372762	0.4904765	0.3369272	0.1834414	0.6190841	1.323049
NEK4	0.2623167	0.1671149	0.2378872	0.3507315	0.2839478	0.1028042	0.9754891	0.3862377
NETO1	0.02435154	0	0.01009148	0.6358446	2.576821	0	0.01454985	0.05334293
NFAM1	0.08817848	0.0757523	0.07792617	0.02885833	0.04274347	1.425162	1.897537	0.03986265
NFKB1	0.6459422	0.8920496	0.7365185	0.5261442	0.4489914	0.4286055	0.576091	0.5636257
NKG7	4.958505	0.2707721	4.403023	0.2822049	0.2433995	1.233942	0.5004784	0.2778749
NLN	0.03907928	0.1084219	0.02577449	0.1603574	0.09409718	0	0.63890014	0.3512922
NLRC3	1.595473	0.7163286	1.553548	0.5514717	0.3348204	0.004951013	0.02342616	0.1413916
NLRC5	0.763553	0.6677165	0.943196	0.8516713	0.226506	0.8441467	0.6809115	0.6235826
NMUR1	2.2726149	0.03702718	1.561333	0	0.02126256	0.01057082	0.02768485	0.02429859
NPC1	0.8641207	0.2604238	0.834768	0.145473	0.1485432	0.1113727	0.1479094	0.122541
NPC2	0.3122396	0.3882446	0.3105213	0.483879	0.7567158	0.32007	1.665157	0.446327
NPIPB6	0.004918839	0.01221001	0.01749154	0.03669979	0	0	0	2.012485
NR3C1	1.0144953	0.7141209	0.9803233	0.7884193	0.7854778	0.8433107	0.7764684	0.3596694
NSA2	1.386264	2.1705621	1.5616747	1.9036184	1.7259156	0.3866054	1.628089	1.3161612
NSG1	0.12260715	0.47175247	0.36343773	0.009607121	0.003640923	0	0.003104146	0.006504087
NT5E	0.008664462	0.05144537	0.03585619	0.40007262	0.85307272	0	0.008874589	0.03739767
NUGGC	0.09006877	0.05218447	0.12744669	0.2449555	0.04371591	0	0.01113532	1.85460321
NUP133	0.2861462	0.2074689	0.2406852	0.1150984	0.2459943	0.07889485	0.303322	0.4512664
OSBP2	0.09352682	0.07590136	0.1002051	0	0	0.08996406	0.1204698	0.01934982
OSBPL8	1.415145	1.344199	1.391113	0.8961078	0.9400005	1.633002	1.534596	0.5992774
OSCAR	0.1058521	0.06636132	0.05046406	0.02324644	0.04599325	1.407149	1.57096	0.01822888
OSER1.DT	0.500267	0.4286052	0.4853942	0.1848418	0.4141904	0.1040122	0.05347105	0.09741914
OSTF1	1.653084	0.6840358	1.4172962	0.8206837	0.66969	1.6734425	1.4596066	0.8590474
OTUD5	0.8840153	0.6966445	0.7723488	0.697255	0.6711226	0.3855258	0.4566658	0.91182
OTUD6B.AS1	0.9093874	0.768291	0.9471328	0.6839312	0.8909602	0.2095215	0.3964354	0.570395
OXCT2	0.004918839	0	0.03387534	0	0	0.01057082	0.01840943	2.1150063
OXNAD1	0.7827983	1.9737757	1.272736	0.1005851	0.1379717	0	0.07201528	0.2373031
PARM1	0.008769604	0	0.003985292	0.2191363	0.06633596	0	0.001793855	0.68138247
PARP1	0.884014	0.8631784	0.9034877	1.6497366	1.2937532	0.02816539	0.3937863	2.6762598
PARP14	1.0517396	0.6144462	0.983409	1.5813645	1.4626267	0.1669948	0.9301272	0.4613322
PARP8	2.0229199	0.8485291	1.9927437	0.4810779	0.4908342	0.8041486	0.6587683	0.1167173
PARVB	0.1586427	0.1545649	0.163878	0.718068	0.8733342	0.1051126	0.6516343	0.8672634
PAX5	0.02451754	0.009243451	0.01021484	2.8367386	2.77977008	0.005792418	0.02334377	0.3350699
PAXBP1	0.9791843	0.7000569	0.9722277	0.7291993	0.6870419	0.7387783	0.7102161	1.003754
PCED1B.AS1	2.47632	3.117418	2.452379	1.328402	0.6164718	0.2424326	0.09097705	0.8091865
PCM1	1.3722124	1.1594308	1.3990288	1.4707042	1.2328027	0.4533183	0.8836233	0.8838887
PCYT1A	0.551667	0.3332948	0.5287287	0.5076088	0.2569201	0.8545566	0.8856785	0.6821886
PDCD7	0.7582638	0.7437167	0.7540119	0.6744316	0.6867662	0.01303864	0.3034261	0.5900213
PDIA4	0.5480667	0.320641	0.5056487	0.2684251	0.1801465	0.0813252	0.4352251	3.0689422
PEBP1	0.512559	1.237088	0.6628674	1.130419	0.9749477	0.05183126	0.2628481	1.848196
PFDN1	0.7601732	0.7676475	0.7271072	0.7652485	0.6910256	0.1052287	0.5423678	0.8413613
PFKFB2	0.1657947	0.09597602	0.1905861	0.189153	0.5002506	1.8123478	0.07878335	0.1021756
PFN1	2.969539	2.034427	2.82432	2.047449	1.515411	3.00354	2.558363	1.914796
PGRMC2	0.6944306	0.6202566	0.7164538	0.3635279	0.3134829	0.07968581	0.3197171	1.0454726
PHF3	1.4403295	1.4739862	1.419858	1.3747902	1.6186525	0.7080088	0.9544653	0.980491
PIK3C2A	0.9732128	0.4886458	0.8313825	0.3984411	0.4540851	0.148443	0.5103274	0.6286076
PIK3R1	1.5990627	1.4152484	1.8068189	0.5244998	0.5242089	0.3500803	0.6357307	0.3573412
PLAAT4	1.642604	1.191151	1.55744	0.3119129	0.1928845	0.01488817	0.2367085	0.2929267
PLEK	1.7974017	0.1496008	1.5610842	1.048087	0.3646092	1.9676	1.9471543	0.8458109
PLIN2	0.2748585	0.3270173	0.2753226	0.295674	0.1181899	0.02928474	0.7415897	0.2647296
POU2AF1	0.03701036	0.03769388	0.02764103	2.039543	1.187189	0.02410061	0.02410599	3.646853
PPM1G	1.3130724	0.9417344	1.1941503	0.9177263	0.5889176	0.3948534	1.035277	1.8164692
PPP1R7	0.9962995	0.754578	0.9709559	0.7592917	0.6330591	0.336125	0.8264688	1.3026691
PPP2R2D	0.8840475	0.7642327	0.814983	0.5916737	0.6225685	0.4461976	0.6325695	0.6595203
PPP2R5A	1.0219669	0.5798493	1.0305586	0.560227	0.4547371	1.8089515	0.9437388	0.3979157
PPP2R5C	2.17173	1.462203	2.176605	0.851649	0.7032135	0.7525951	0.8443631	0.789004
PPP4R3A	1.412592	1.000641	1.393213	1.485255	1.675255	0.6056499	1.028459	1.208076
PPP6R2	0.8090906	0.5855519	0.810767	0.6317797	0.5409089	0.421485	0.5728067	0.6875753
PRDM1	1.4280436	1.3959324	1.355617	0.1842726	0.1542377	0.04683724	0.1586606	2.1258579
PRF1	4.154905	0.1132409	3.2825541	0.0169008	0.06504069	0.007508444	0.06402781	0.1096386
PRKACB	1.8254347	0.9872452	1.604434	0.8201874	0.6218232	0.06104961	0.3160285	0.3946981
PRPF4B	2.1353778	1.3973852	2.1037626	1.5515666	1.7465769	0.3197635	1.0485734	1.3757942
PRPF8	1.063009	0.8584589	1.028635	0.9914748	0.908831	0.4000345	0.819636	0.9469691
PSAP	0.883083	0.5046554	0.7804574	0.6881205	0.51542	1.4080889	2.6296843	0.7949868
PSMC3	0.7667808	0.5051993	0.6525825	0.5441044	0.4288192	0.2037148	0.6252328	1.554531
PSMC5	0.9274658	1.080196	0.9634769	0.7552772	0.4938253	0.2958547	0.8263541	1.380853
PSPC1	0.934574	0.7567312	0.9509358	0.8995436	0.7450576	0.4519802	0.6706474	1.096978
PTCRA	0.2666342	0.2323911	0.2961981	0.181182	0.398106	0.2474281	0.4034499	0.1395941
PTGER4	0.7360438	0.7687059	0.7693213	0.3909558	0.530007	0.1618805	0.2802162	0.05248474
PTMA	3.097659	3.113745	3.064533	3.305714	3.291388	1.025945	2.916912	3.286077
PTPN7	1.3437809	0.6686105	1.2480193	0.2833166	0.2676213	0.7646239	0.2533038	0.7808668
PTPRC	2.2498243	1.899391	2.238212	1.631542	1.505664	2.097573	1.9668496	0.964745
PVT1	0.1309653	0.9889141	0.2347928	1.350778	0.2511262	0.01439984	0.3334375	0.5889948
PYCARD	0.6946677	0.4415807	0.59523	0.7930097	0.3148551	1.949092	2.627292	0.6398883
PYHIN1	3.349413	0.7848629	2.7805715	0.5482287	0.130818	0	0.02472662	0.1205282
RAB6A	0.8592365	0.4593566	0.762257	0.4693295	0.3990242	0.4356796	0.8456048	0.6212864
RACK1	2.508615	3.377447	2.652416	3.25168	3.242905	1.132465	2.753727	2.811178
RAD21	1.4061195	1.297873	1.4145065	1.4415088	1.2391575	1.146655	1.3046018	1.6015706
RALGPS2	0.288449	0.2309432	0.2611734	3.8937745	3.5841524	0.3059027	0.1538856	1.2899703
RASAL3	1.539191	0.8411741	1.395604	0.6235897	0.4481834	0.5867758	0.2326857	0.5654058
RASSF5	1.265858	0.8961768	1.1982055	0.6436705	0.4933264	1.1689882	0.7189511	0.5550922
RBBP4	1.194562	0.9031165	1.1812645	1.1023047	0.9058456	0.4715723	1.0684384	1.4323776
RBL2	1.38682	1.385224	1.416894	0.7846998	0.6564314	0.9778844	0.9048551	0.4663655
RBM22	1.0595226	0.7311644	1.0423512	0.987725	0.7668078	0.5325557	0.8146262	0.7410517
RBM47	0.0628691	0.02761488	0.04170252	0.1201225	0.03319968	0.6204066	1.26773975	0.4481551
RBMX	1.140259	1.362774	1.186458	1.427742	1.329188	0.380573	1.030619	1.254584
RCAN3	0.07419058	2.3940835	0.295826	0.6337738	0.6259827	0.03427639	0.2900678	0.09039563
RECQL	1.014404	0.6571408	0.8710996	0.7646698	0.5069431	0.1707365	0.4973436	0.9814959
REST	1.1727643	1.0583183	1.2280852	1.0529269	0.8383179	0.6221458	0.9747464	0.8353333
RGS3	0.8950885	0.03398885	0.6345071	0.1088713	0.08773565	0.1697459	0.1487999	0.1067346
RNASE2	0.1091826	0.03324721	0.05780454	0.05169162	0.0799028	0.8348027	3.844669	0.08161485
RNASEH1	0.8398645	0.6566601	0.9075788	0.7627678	0.7146265	0.1322883	0.5065054	1.5893995
RNF125	2.251521	1.024938	2.277646	0.1983467	0.2838173	0.04901252	0.4006729	0.1450244
RNF216	1.0406342	0.8835691	0.9900547	0.7515589	0.7998109	0.297007	0.5454939	0.326473
RNMT	1.359969	1.383286	1.438453	1.412606	1.44143	0.2697812	0.6788301	0.7538927
RNPS1	1.321242	1.06871	1.313494	1.325455	1.054701	0.3176371	0.8979569	1.418875
RP11.1143G9.4	0.3111787	0.2363609	0.2967193	0.251035	0.2511087	1.29234	2.946171	0.178858
RP11.326K13.5	0.842982	0.3391114	0.8574624	0.05285898	0.05298567	0.02067846	0.02218122	0.02636027
RP11.363K21.1	0.04412765	0.02225057	0.0631316	0.04652069	0.04621249	0.5572439	1.58641374	0.04422241
RP11.474P2.5	0.5818385	0.1970059	0.5653709	0.3085102	0.2832083	0.04080952	0.004820403	0.1166445
RP11.480C16.1	0.008756805	0.02472123	0.06464318	0.389858	0.06902734	0.05014563	0.06782496	2.5054805
RPL11	2.73486	3.655327	2.903311	3.601565	3.569561	1.370959	2.883819	2.755102
RPL13A	2.816584	3.761532	3.032028	3.796479	3.70122	1.355628	2.80616	2.916363
RPL14	2.64767	3.386614	2.8344	2.971263	2.871952	0.8461478	2.201278	2.505844
RPL15	2.64738	3.260817	2.790258	3.315432	3.355617	1.044813	2.726696	2.694688
RPL18	2.682213	3.602096	2.874237	3.417484	3.455888	1.164389	2.741759	2.758389
RPL22	1.5956509	2.7238344	1.7783461	2.396049	2.364947	0.4980802	1.8598775	1.5259026
RPL23	1.614381	3.046993	1.891098	3.006508	2.883846	1.225516	2.699247	2.241643
RPL27A	2.452121	3.346985	2.658873	3.283765	3.110586	1.146514	2.412393	2.600271
RPL36	2.262349	3.29081	2.479962	3.177412	3.089	0.9414153	2.405299	2.707701
RPL36AL	2.234009	2.479563	2.374027	2.107335	1.768119	1.337129	1.991317	2.690585
RPS23	2.433644	3.167737	2.59946	3.164257	3.186253	1.025903	2.410792	2.439209
RPS3A	2.676599	3.552148	2.855689	3.284589	3.346651	1.339614	2.580422	2.41907
RPS6	2.800109	3.821159	3.001618	3.588082	3.555451	1.323326	2.647294	2.896046
RPS6KA1	0.9791701	0.3565767	0.8449309	0.4210798	0.3116625	1.1409445	1.0184587	0.3541086
RPS7	2.794068	3.37821	2.978877	3.382722	3.310223	1.454115	2.7271	2.750774
RPS9	2.634492	3.621252	2.825822	3.527777	3.49946	2.136461	3.418204	3.018803
RRBP1	0.6187338	0.2865328	0.5928389	0.2325245	0.201476	0.2649175	0.8121473	2.420851
RRN3P1	0.7866667	0.8166365	0.7893595	0.6382598	0.6787913	0.07334377	0.2244268	0.2281182
RTKN2	0.00896468	0.701644204	0.05422218	0.007904371	0.02074314	0	0.007003478	0.02169451
RUNX3	2.6115541	0.7831439	2.3997261	0.6917095	0.306764	0.0350729	0.1414096	0.4205702
RWDD1	1.070197	1.1612911	1.1701589	0.7238906	0.612459	0.3306111	0.9480604	1.1959728
S100A10	1.037417	1.1673536	1.1096311	0.6675637	0.3333028	0.03603197	2.31174	0.9868786
S100A11	0.556874	0.5821964	0.5319689	0.3385522	0.2332409	2.4959098	2.2371726	0.4233366
S100A12	0.4319914	0.382868	0.3992596	0.3031297	0.2541801	4.0161289	2.810415	0.4075116
S100A8	0.9388709	0.9937116	0.9082711	0.7608483	0.7525614	3.894688	2.9014212	0.8470941
S100A9	1.120268	1.100668	1.08959	0.9676235	0.9883166	3.69581	3.058936	1.025963
S100B	0.2252385	0.007850879	0.2403684	0.02549403	0	0.004655995	0.03100013	0.01732669
S100P	0.1549308	0.1403941	0.1448094	0.08486442	0.07199027	3.881112	0.2711662	0.08823764
S100PBP	0.9726997	0.4411231	0.8418263	0.657429	0.4562423	0.3196199	0.4006662	0.641858
SAMD3	3.9957404	0.2904943	3.5675913	0.06382886	0.0255491	0	0.02039884	0.2665345
SAMHD1	1.992556	1.854967	1.855403	0.2211321	0.1376402	0.06083632	2.501256	0.4452418
SAP30	0.1892181	0.1707128	0.235303	0.1256169	0.1077824	0.3783125	2.2682896	0.3906522
SCIMP	0.2975229	0.02448577	0.2517809	1.737202	0.7667044	0.0233462	1.334865	0.04259018
SCML4	0.6838527	1.0785891	0.8934292	0.2658971	0.1335826	0.0871819	0.01521336	0.0157362
SCRN1	0.3658703	0.04281167	0.3377242	1.2832843	0.4800563	0	0.1363791	0.4843167
SDF4	1.2725367	0.6481181	1.0953265	0.6379117	0.5415884	0.262488	0.7196672	1.5586309
SEC11C	0.6918779	0.5192404	0.6847232	0.8446482	0.3764566	0.155084	0.3165931	3.47222
SEPTIN6	1.465125	1.962142	1.475001	1.726906	1.188142	0.2689241	0.5283287	1.68629
SESN1	0.4359551	0.574693	0.4034531	0.5431244	2.3438097	0.2103972	0.3238875	0.1040238
SETD2	1.390181	1.0569666	1.4251346	1.2839117	1.2521434	0.788776	1.006945	0.6724795
SFPQ	1.4801964	1.2918001	1.4683818	1.4888378	1.3187235	0.7613822	1.5950132	1.7329241
SH2D1B	3.4960907	0.00876115	2.692076	0	0.01943012	0	0.02866645	0.02869727
SIGLEC6	0.01095571	0.02071585	0.01208997	0.9663736	0.1176955	0.01057082	0.006306992	0.04887503
SLAIN2	1.0228755	0.753233	0.9667597	0.6657297	0.6446312	0.4259616	0.8356723	0.7167002
SLC16A6	0.4194155	0.1232162	0.3458961	0.09132439	0.05820059	0.1616875	1.004041	0.2585782
SLC1A3	0.01160658	0.001649635	0.00727621	0	0	0.02849824	0.463509406	0.005933553
SLC25A36	0.9081356	0.7771527	0.9491101	0.9884695	0.8923132	0.2917315	0.8143568	0.9086005
SLC25A5	0.9491871	0.984082	0.9673891	1.147615	0.867416	0.3475087	1.540476	1.70696
SLC38A1	1.568846	1.495758	1.694662	1.493799	1.680106	0.1641162	0.0898415	1.317804
SLFN5	2.23753	1.55212	2.135718	0.0717904	0.06350615	0.002802786	0.1810813	0.08907057
SLTM	1.462673	1.020902	1.327311	1.237041	1.159388	0.7418587	1.223823	1.623496
SMARCD1	0.8973605	0.6057703	0.8555853	0.7727943	0.727168	0.234491	0.3812162	1.045825
SMC5	1.2362555	0.8095338	1.1951171	0.8375668	0.9055287	0.1810116	0.703756	1.0261468
SMKR1	0.52792127	0.06962931	0.44976766	0.4387822	0.04431315	0	0.007217159	0.03089166
SNCA	0.03527153	0.02844205	0.02685287	0.04013738	0.04655203	0.01368858	0.2771203	0.1599019
SNHG6	1.2321829	2.1987801	1.4292951	1.6604514	1.8217655	0.4243247	1.2407965	0.9954071
SNHG8	0.7045576	1.79282	0.9469841	1.4499004	1.296672	0.2627036	0.9752574	1.0756546
SNRPB	1.308619	0.989248	1.298447	1.183443	1.038049	0.4672765	0.9676777	1.82745
SNRPD2	1.451164	1.871839	1.587902	1.584173	1.331634	0.3854111	1.047835	1.938671
SNRPD3	0.8881741	0.689392	0.8757032	0.8742252	0.8584008	0.2859492	0.8115331	1.215206
SPATA13_ENSG00000182957	1.039139	0.7692432	1.108029	0.1575216	0.05666973	0.3965253	0.4310538	0.06899675
SPATS2	0.3186622	0.09463742	0.272582	0.49222	0.2059594	0.03280498	0.1611702	2.177564
SPCS3	1.248653	0.9908986	1.2416047	0.9980478	0.6030922	0.8100961	1.4767264	2.8142209
SPI1	0.1878478	0.1356353	0.1330806	0.5323883	0.3989115	2.400433	2.451677	0.2539875
SPIB	0.03111707	0.01080894	0.01778584	2.852321	1.733395	0	0.02468096	0.06705196
SPON2	3.0071288	0.2012696	2.117331	0.1022939	0.07918243	0.03516115	0.08260914	0.1635694
SREK1IP1	0.8559638	0.6224184	0.8187474	0.5295519	0.5593378	0.6406252	0.8277495	0.6842096
SRRM1	2.0173039	1.8086098	1.9979266	1.8886216	1.9262707	0.6867658	1.6362495	1.6907861
SRRM2	2.355143	1.953	2.333422	2.503277	2.312679	1.032114	1.839282	2.030053
SRSF11	1.593987	1.3113252	1.5921843	1.2773583	1.287988	0.5488827	1.117892	1.5234793
SRSF4	1.1926788	0.8871233	1.1266449	1.126806	0.9260792	0.7505004	1.2126905	1.4243389
SRSF7	1.5018224	1.4969636	1.5369584	1.5441866	1.621499	0.1819847	0.6620653	1.3350226
SSH2	1.451819	0.8563127	1.25531	0.9186802	0.9736086	1.237338	1.47623	0.4083943
SSPN	0.001537502	0	0.002487812	0.7486692	0.09059877	0	0.00272754	0.5090865
SSR2	1.6106162	1.7819403	1.6558989	1.3230094	1.1894897	0.6454981	1.2781895	2.5181755
ST14	0.02387405	0.01889715	0.02002531	0.4215926	0.1254536	0.03527939	0.6708187	0.05071016
ST3GAL5	0.5520749	0.4032143	0.5482585	0.8588006	0.355783	0.0129186	0.2425973	0.1951167
STAG1	0.9386407	0.6644756	0.8750119	0.9883106	0.8669479	0.4738018	0.5176791	0.8988274
STAT4	1.3738565	0.8065386	1.23065	0.01165947	0.02867208	0.01688238	0.01259928	0.04660478
STUB1	1.037015	0.8346716	1.017579	0.8001438	0.6461456	0.3600878	0.9185456	1.103389
SUB1	1.7550059	1.6371332	1.7228368	1.786143	1.1302	1.3195978	1.5209703	3.9071124
SUPV3L1	0.9654799	0.4934258	0.9468567	0.7251976	0.5160279	0.1113146	0.2450328	0.4693451
SYNE1	2.7382724	0.7175651	2.5401715	0.4757007	0.4225867	2.480562	0.3191678	0.6613648
SYNE2	2.434623	1.67731	2.296106	0.547523	0.293681	1.346936	0.05172439	0.9061253
SYNGR1	0.8618642	0.03340439	0.662159	0.07594206	0.1228816	0.1158731	0.481038	0.07236626
SYTL1	1.4624947	0.7798256	1.2505714	0.9208779	0.428035	0.5863801	0.2042947	0.4268973
TAF15	1.312911	1.034434	1.26347	1.008787	0.9735223	0.2213132	0.8818565	0.7961449
TAF1D	0.9576426	1.298804	1.10447	1.41392	1.586583	0.3500224	0.5605403	0.8552517
TAF3	0.8343308	0.7798032	0.9110389	0.8660977	0.8369431	0.1522657	0.4986879	0.6598964
TAF7	1.6543361	1.247749	1.5808608	1.6652169	1.7575499	0.8833252	0.4088921	0.6959001
TAGLN2	1.0348319	1.1634935	1.0831792	1.5677503	1.2597258	1.4305496	1.5596525	1.568308
