CD4	CD8	Erythrocyte	Macrophage	memory_B_cell	Monocyte	naive_B_cell	Neutrophil	NK_cell	Plasmocyte	Platelet
COLQ	1.047111742	0.639076377	0.002956887	0.004098361	0.175644028	0.025755049	0.07012059	0.001419111	0.818234276	0.026639344	0.008368201
COMMD6	23.65861742	6.18650089	0.09147272	2.11885246	14.89227166	4.41819529	5.52702099	0.49243141	3.37997692	3.27663934	1.28870293
CORO1A	86.5741004	28.3847247	0.2761351	3.3155738	28.8302108	8.9603483	10.5283609	3.1225166	14.4717253	18.6168033	0.6694561
CORO2A	0.859138258	0.463587922	0.002670736	0.06557377	0.042154567	0.283120252	0.034390353	0.086447493	0.1084824	0.022540984	0
COTL1	42.0343277	7.1012433	1.0587562	8.5963115	20.4215457	30.5211537	2.96159	4.0612583	0.8511252	7.0553279	504.8242678
COX19	5.56723485	1.67388988	0.01507058	0.1352459	1.33021077	1.23562473	1.19338991	0.09271523	0.61223312	0.97131148	6.74476987
CPD	1.25142045	0.49094139	0.01945822	0.15778689	0.04566745	1.01154963	0.0638678	1.2378193	0.77437969	0.33401639	0.09205021
CPNE5	0.008285985	0.008880995	0.006581457	0.00204918	3.128805621	0.062071521	0.984814649	0.062322611	0.007212926	2.801229508	8.10041841
CPVL	0.01491477	0.03055062	0.01516597	1.06967213	0.07611241	4.90494719	0.01295221	0.01395459	0.03923832	0.07581967	0.0251046
CREBZF	2.06368371	0.92611012	0.01459367	0.14139344	0.68501171	0.57328145	0.66547566	0.05605487	0.94345066	1.07581967	0.07112971
CREG1	1.0859375	0.08419183	9.12066005	0.93032787	0.26580796	3.15329504	0.1134435	0.23308893	0.09549913	0.50614754	42.78661088
CRIP1	10.95549242	4.69769094	0.02012591	0.61270492	4.40515222	1.55357915	0.20053595	0.0281457	1.90738604	14.57786885	0.041841
CRTAM	1.2284564394	3.9737122558	0.000858451	0.0307377049	0.0011709602	0.0658390464	0.0013398839	0.0008278146	0.8626658973	0.018442623	0
CRTAP	1.99857955	1.68383659	0.63544449	1.37909836	3.970726	2.99129146	0.17641804	0.03878903	0.27611079	0.63934426	22.07531381
CSF2RB	0.54166667	0.01563055	0.012686	0.09836066	0.4765808	0.63689704	0.14336757	0.98912015	0.02048471	1.13114754	0.041841
CSF3R	0.1796875	0.1964476	0.3057039	1.1905738	0.1990632	9.7152122	0.11523	11.9703169	0.2804385	1.1885246	0.6066946
CST3	0.438447	1.0689165	0.6807516	15.4897541	0.5093677	31.1973936	0.3358642	0.6283113	1.9483555	1.7704918	214.5564854
CST7	11.34919508	47.64333925	0.17216711	0.02868852	0.08313817	0.68136619	0.07905315	5.62890255	22.20830929	0.50204918	147.54811715
CSTA	0.03858902	0.08987567	0.04521175	2.08196721	0.02810304	6.00660861	0.03260384	0.99609745	0.12723601	0.23770492	0.08786611
CSTB	8.12807765	2.36056838	0.09128195	1.95901639	3.74473068	4.49471929	1.36400179	1.04895932	1.09290248	4.125	3.90794979
CTC.510F12.4	0.005208333	0.005328597	0.005723006	0.004098361	0.005854801	0.257735779	0.005359536	0.437204352	0.011540681	0.022540984	0.0041841
CTD.2287O16.1	2.2296401515	0.3953818828	0.0009538344	0	0.718969555	0.1463776172	0.4917373828	0.0018921476	0.0666474322	0.0225409836	0.0041841004
CTD.2313F11.1	0.0648674242	0.0571936057	0.0001907669	0	0.0011709602	0.0017911185	0.000446628	0.0001182592	0.0706866705	0.0020491803	0
CTLA4	3.4590435606	1.1293072824	0.0011446013	0	0.0035128806	0.0023469829	0.0482358196	0.0001182592	0.0023081362	0.0143442623	0
CTSB	15.96875	1.6397869	11.177604	5.9098361	3.6112412	14.2022729	1.9446181	0.4077578	1.270629	0.8422131	2.6443515
CTSH	12.83925189	0.46678508	0.03138115	1.09221311	14.68384075	4.28830832	3.8834301	0.20754494	0.72937103	6.38114754	0.0125523
CTSW	28.21732955	45.27353464	0.05637161	0.0204918	0.03747073	0.09746155	0.03841	0.01087985	28.48961339	0.19877049	21.77405858
CUEDC1	0.022964015	0.002486679	0.047691721	0.049180328	0.004683841	0.451670681	0.001786512	0.095435194	0.006924409	0.006147541	0.008368201
CWF19L2	2.0546875	2.17335702	0.01192293	0.07581967	1.5	0.44777963	0.71371148	0.06043046	0.87766878	0.99180328	0.041841
CX3CR1	0.482717803	4.598934281	0.002098436	0.098360656	0.005854801	0.453152986	0.003573024	0.010525071	3.068955568	0.010245902	0.0041841
CXCL1	0.546401515	0.015275311	0.010110645	0	0.003512881	0.133283923	0.00223314	0.469843898	0.015579919	0.043032787	0.09623431
CXCL8	0.02438447	0.06998224	0.04702404	0.00204918	0.06206089	1.38805509	0.01697186	0.95920057	0.0983843	0.30737705	2.06694561
CXCR3	5.6536458333	1.681705151	0.0018122854	0	0.2529274005	0.001482305	0.0687807057	0.0003547777	0.0565493364	0.7991803279	0
CXCR6	3.4417613636	0.9445825933	0.0001907669	0	0	0.0002470508	0	0.0001182592	0.0424120023	0.0040983607	0
CXXC5	0.046875	0.47246892	0.02060282	0.125	7.50468384	1.24334507	8.00089326	0.05664617	1.45527986	4.36885246	0.13807531
CYB561	2.228219697	3.396447602	0.001430752	0.024590164	0.008196721	0.075350503	0.005806163	0.001892148	0.038949798	0.098360656	0.025104603
CYB5B	9.668797348	2.829129663	0.008966043	0.110655738	1.537470726	0.355259095	2.19472979	0.023178808	3.170225043	0.954918033	0.121338912
CYBB	0.06273674	0.15559503	0.08431896	2.30327869	2.07142857	10.76060775	2.19606967	1.25910596	0.25447201	1.35245902	0.16736402
CYFIP2	17.59043561	8.08987567	0.03023655	0.10860656	7.97892272	0.65091718	4.3465833	0.40858562	3.83208309	1.18237705	0.041841
CYP4F29P	0.0073390152	0.414920071	0.0003815338	0	0.0046838407	0.0009264406	0.0933452434	0.0001182592	0.2712060012	0	0
CYP4F3	0.026515152	0.046891652	0.02022129	0.006147541	0.026932084	0.110431721	0.023224654	1.437795648	0.049336411	0.098360656	0.046025105
CYSTM1	2.0608428	0.89698046	3.42254865	0.19467213	0.16627635	0.61268606	1.66145601	3.47398297	0.07472591	0.67418033	0.17154812
DAAM1	2.03148674	0.1982238	0.02127051	0.05327869	3.4882904	0.32579828	0.96292988	0.01903974	0.2677438	0.96516393	8.45188285
DAB2	0.01207386	0.2955595	0.02136589	0.11065574	0.07494145	0.58884565	0.01295221	0.01667455	0.50375072	0.03483607	53.87029289
DAPP1	2.96567235	0.07708703	0.03204884	0.24590164	9.85831382	1.20004941	3.55069227	0.20281457	0.06174264	1.06557377	35.0251046
DBN1	0.032433712	1.171225577	0.004578405	0.00204918	0.00117096	0.076709283	0.005359536	0.010525071	0.03779573	0.030737705	36.610878661
DCAF12	0.98532197	0.28774423	36.1883823	0.16393443	0.02693208	0.72744117	0.019205	0.12109745	0.53923832	0.75409836	0.14225941
DCAF5	6.4202178	3.4277087	0.01583365	0.09631148	0.78922717	0.96448644	1.11880304	0.08443709	2.93421812	0.61270492	0.12133891
DDHD1	4.33096591	3.34031972	0.01363983	0.04713115	2.03981265	0.82125872	1.60428763	0.02968307	2.24725909	1.11680328	0.0334728
DDX24	7.13967803	3.5651865	0.1791301	0.43442623	4.4765808	0.97708604	1.96426976	0.06788079	1.91142527	5.89344262	0.54811715
DDX3Y	0.062973485	0.076021314	0.008012209	0	0.306791569	0.178617751	0.19696293	0.193472091	0.090594345	0.524590164	0.184100418
DDX5	220.434422	67.790053	0.366177	2.014344	61.174473	14.752455	61.874944	2.71334	33.326024	18.489754	1.09205
DENND10	4.9547822	0.869627	0.01487982	1.17827869	0.52107728	2.20665802	0.3019205	0.41780984	0.96970571	0.71721311	0.11715481
DGKA	34.05042614	8.03232682	0.01239985	0.11065574	8.64754098	0.73744673	4.69539973	0.28725166	1.31909983	0.23155738	0.0209205
DGKH	0.466856061	0.114742451	0.006486074	0.022540984	0.010538642	0.189673275	0.007146047	0.197374645	0.231102135	0.06557377	0.09623431
DGKK	0	0.003907638	9.538344e-05	0	0.00117096	0.0008646779	0.000446628	0.0007095553	0.02914022	0	0
DGKZ	1.8638731	3.7026643	0.333842	0.3627049	0.675644	1.7944537	0.138008	0.2575686	1.7714945	0.7909836	4.3012552
DHRS4	1.437973485	0.291651865	0.003243037	0.319672131	2.242388759	0.25341239	0.115230013	0.002246925	0.157241777	0.473360656	0.092050209
DIPK2A	0.54119318	0.09271758	0.02584891	0.08811475	0.32318501	0.73306158	0.61723984	0.04907758	0.12002308	0.36885246	0.85355649
DISC1	0.306818182	0.263232682	0.002670736	0.053278689	0.011709602	0.277993947	0.011612327	0.076750237	0.050201962	0.024590164	0.0041841
DNAJC1	2.32907197	2.392539964	0.009824494	0.157786885	0.179156909	0.641591007	0.925859759	0.035950804	1.118291979	4.262295082	0.221757322
DNAJC19	7.24100379	2.92468917	0.01249523	0.15368852	8.35362998	0.51306281	1.19517642	0.01631977	0.65810733	1.52254098	0.17154812
DNPH1	4.448153409	0.388987567	0.012113697	0.258196721	3.594847775	0.404236922	0.571237159	0.002365184	0.066647432	1.950819672	0.150627615
DOCK10	7.07125947	2.523978686	0.011159863	0.125	6.010538642	0.845778519	0.837427423	0.007450331	1.234564339	1.182377049	0.075313808
DOK2	7.89654356	5.89342806	0.04473483	0.93237705	0.08665105	3.45932926	0.03885663	0.03453169	6.03087132	0.51639344	141.25941423
DPYD	2.0949337	3.2824156	0.0333842	0.6844262	0.1077283	4.6154654	2.3657883	0.9089404	2.2440854	0.2356557	40.1087866
DSC2	0.013257576	0.020603908	0.01163678	0.25204918	0.005854801	0.780865913	0.005806163	1.08384579	0.022792845	0.094262295	0.029288703
DUSP2	7.38210227	27.64760213	0.04244563	0.00204918	1.47189696	0.08375023	0.12907548	0.01584674	12.9440277	0.3647541	0.06694561
DUSP8	0.0565814394	0.0369449378	0.0009538344	0	0.0398126464	0.0022852202	0.0089325592	0.0094607379	0.0158684362	0.012295082	0
DYRK2	4.095880682	2.470692718	0.005627623	0.030737705	1.569086651	0.220369341	0.43322912	0.003666036	1.61050202	0.168032787	0.033472803
EBF1	0.035274621	0.003907638	0.001430752	0.00204918	4.43676815	0.013340745	2.151853506	0.001655629	0.004039238	0.118852459	0.0041841
EBLN3P	6.98011364	1.66145648	0.018409	0.1454918	3.10772834	1.58452227	6.85082626	0.10737938	1.15147144	1.12909836	0.05020921
EBP	11.70999053	6.62699822	0.01011064	0.02663934	12.33840749	0.23994812	0.6677088	0.0249527	2.29313329	2.61885246	0.13389121
EEF1A1P13	1.2388731061	0.2596802842	0.0006676841	0.0020491803	0.3899297424	0.2001111729	0.2317999107	0.0017738884	0.0874206578	0	0.0836820084
EEF1B2	95.5044981	19.3534636	0.2384586	3.5471311	48.8067916	8.9175468	20.3532827	0.137772	7.4679746	40.4815574	2.8953975
EEF1B2P2	0.0866477273	0.0209591474	0.0001907669	0	0.0351288056	0.0311901674	0.0241179098	0.0005912961	0.0072129256	0.006147541	0
EFHD2	1.2644413	4.1715808	0.3452881	1.1331967	0.5608899	6.5480823	0.2675301	2.4271523	4.9122908	2.1762295	0.2008368
EIF1AY	0.04924242	0.03339254	1.44849294	0	0.33372365	0.13983077	0.23983921	0.15101703	0.03606463	1.35860656	0.30543933
EMP3	18.3837595	8.7779751	0.2264403	3.7315574	6.5538642	10.6882219	1.5663243	1.1368259	4.017311	9.8627049	21.4811715
EOMES	0.0977746212	3.8831261101	0.0025753529	0	0.0023419204	0.0019764066	0.000446628	0.0002365184	0.8854587421	0.012295082	0.0041841004
EPB41L4A.AS1	3.02154356	1.91722913	0.04330408	0.17008197	1.03864169	0.78914212	1.25413131	0.00768685	0.95729948	1.0204918	0.07949791
EPHA1.AS1	0.2926136364	0.0380106572	0.0009538344	0.0450819672	0.0163934426	0.1860910382	0.0089325592	0.0228240303	0.0141373341	0.018442623	0.0083682008
EREG	0.012547348	0.285257549	0.009061427	0.034836066	0.005854801	1.511148169	0.002679768	0.061613056	0.033756492	0.084016393	0.054393305
ERFE	0.0023674242	0.0014209591	0.2848149561	0	0.0035128806	0.0036439998	0.0013398839	0.0007095553	0.0095210617	0.0040983607	0
ESF1	3.621212121	0.720071048	0.006772224	0.129098361	2.887587822	0.525230066	0.5623046	0.010525071	0.462492787	1.12704918	0.129707113
ETS1	16.52462121	9.06500888	0.03615032	0.02459016	4.52107728	0.07911803	3.18088432	0.10655156	6.11511829	1.80532787	0.10041841
EVI2A	5.06652462	0.92433393	0.01983976	0.31967213	1.32903981	2.90031499	0.31263957	0.49929044	1.18349683	0.89344262	0.06694561
EVI2B	14.0203598	3.7158082	0.2953071	1.0922131	10.4918033	10.1588537	6.4912908	4.3785478	2.4301789	3.5758197	0.1506276
EZR	17.09730114	9.38010657	0.08565433	0.47131148	21.95316159	1.94219011	6.96784279	0.18874172	1.85401039	8.32991803	0.05439331
F2R	0.4957386	1.278863	0.02251049	0.006147541	0.02224824	0.04675437	0.01875837	0.01241722	1.993941	0.4610656	112.728
F5	2.003077652	0.184724689	0.008775277	0.067622951	0.009367681	0.62979433	0.005359536	0.670411542	0.02423543	0.053278689	0.037656904
FAM102A	7.5416666667	0.7481349911	0.0043876383	0.0020491803	5.9426229508	0.0156877277	1.043322912	0.0003547777	0.0657818811	0.3647540984	0
FAM241A	0.17092803	0.111190053	0.006867608	0.049180328	0.028103044	0.360694213	0.139347923	0.056054872	0.015002885	0.215163934	0.050209205
FASLG	0.7308239	0.137833	9.538344e-05	0	0.00234192	0.0007411525	0.000446628	0.0004730369	0.08049625	0.00204918	0
FBL	7.33143939	1.82202487	0.03090424	0.55942623	3.91451991	1.4503119	1.32916481	0.01963103	1.5372187	5.68032787	0.26359833
FBLN5	6.1976799242	0.6969804618	0.0002861503	0	0.0117096019	0.0035204743	0.0080393033	0.0003547777	0.1485862666	0.0081967213	0
FCER2	0.004261364	0.008170515	0.068199161	0.012295082	6.915690867	0.042307455	10.41357749	0.001300851	0.015579919	0.145491803	0.008368201
FCGR2B	0.01231061	0.0277087	0.00333842	0.04918033	6.73302108	0.16200358	2.00401965	0.01915799	0.07155222	1.23770492	0
FCGR2C	0.0007102273	0.065008881	0.0014307516	0.0102459016	0.9121779859	0.2988697424	0.0312639571	0.0092242195	0.1035776111	0.0922131148	0.0167364017
FCGR3A	0.64015152	15.65506217	0.02956887	1.32991803	0.02810304	3.19646717	0.02545779	0.95033113	16.47403347	0.15778689	0.041841
FCGRT	1.66856061	0.75204263	0.0915681	1.86270492	0.94028103	10.54480884	1.68334078	1.21736045	0.48066936	1.3954918	0.06276151
FCMR	33.06368371	5.38934281	0.01507058	0.01229508	45.23067916	0.02161695	34.33586423	0.02554399	4.31592614	0.66598361	0.0209205
FCN1	0.1403883	0.2817052	0.2135635	4.7704918	0.1744731	19.5042925	0.1375614	1.573912	0.4120023	0.9446721	0.2343096
FCRL1	0.013967803	0.010657194	0.005341473	0.00204918	9.228337237	0.010808474	15.840107191	0.080652791	0.017022504	0.198770492	0.008368201
FCRL3	0.7668087121	2.5406749556	0.0040061045	0	4.8864168618	0.0054351183	5.2407324699	0.0007095553	1.269474899	0.0307377049	0
FCRL5	0.003551136	0.005328597	0.004769172	0	7.487119438	0.054351183	4.382313533	0.009224219	0.012694749	2.879098361	0
FCRL6	2.647727	17.14956	0.004292255	0	0.003512881	0.004199864	0.00446628	0.0002365184	6.318523	0.008196721	0.0041841
FCRLA	0.001893939	0.001420959	0.001716902	0.00204918	10.40047	0.003026373	5.838321	0.0001182592	0.003750721	0.2438525	0.0041841
FGD2	0.01538826	0.05541741	0.01115986	0.625	8.3852459	2.63942931	3.79767753	0.01608325	0.02856319	0.69672131	0
FHL3	0.32788826	0.58756661	0.0138306	0.11270492	0.0234192	0.64282626	0.01384547	0.10099338	0.62954414	0.04508197	30.27196653
FKBP11	10.81439394	4.6277087	0.0155475	0.02663934	0.1557377	0.85708109	1.42384993	0.03772469	2.56087709	19.31147541	0.08786611
FLJ13224	0.0182291667	0.0134991119	0.0004769172	0	0.0117096019	0.0025940337	0.0062527914	0.0003547777	0.0054818234	0.0655737705	0.0041841004
FLT3LG	5.521070076	0.845470693	0.001239985	0.034836066	0.488290398	0.033166574	0.110763734	0.001182592	0.165320254	0.102459016	0.012552301
FOLR3	0.01349432	0.01811723	0.01249523	1.08196721	0.00234192	1.99456488	0.00446628	0.72067171	0.01846509	0.02663934	0.0167364
FOS	33.9427083	27.1065719	0.4294163	2.5245902	15.9461358	48.6451115	13.0044663	6.7228004	23.7357184	2.2663934	0.4811715
FOSB	0.8844697	1.51083481	0.02727966	0.01229508	1.75761124	2.11944908	0.67038857	0.17857143	1.95614541	0.32991803	0.0125523
FPR1	0.07717803	0.13534636	0.09919878	1.45081967	0.09836066	6.1757149	0.05314873	7.39202933	0.19849971	0.52254098	0.27615063
FPR2	0.011363636	0.006749556	0.00858451	0.081967213	0.011709602	0.420912853	0.003573024	1.181291391	0.010963647	0.045081967	0.037656904
FTH1P10	0.335464015	0.118294849	0.110644792	0.006147541	0.244730679	0.844296214	0.17061188	0.067762535	0.063185228	0.143442623	6.205020921
FXYD1	0.1231060606	0.0493783304	0.0004769172	0.006147541	0.1264637002	0.0085850164	0.0120589549	0.0005912961	0.0075014426	0.0081967213	0.0251046025
FXYD5	58.132339	13.8184725	0.1159863	2.7233607	14.2693208	6.5669199	5.6677088	0.2973037	4.9457588	4.6659836	18.7531381
FXYD7	1.928503788	0.606039076	0.001812285	0.004098361	0.029274005	0.012043728	0.033497097	0.001892148	0.073860358	0.008196721	0.020920502
FYN	25.58570076	13.26927176	0.03748569	0.34221311	2.94379391	2.16855043	1.05850826	0.03855251	7.2576457	0.31352459	0.67782427
G0S2	0.021543561	0.03374778	0.043876383	0.00204918	0.05971897	0.303316657	0.008932559	3.065988647	0.052510098	0.319672131	0.062761506
GAB1	0.005918561	0.022380107	0.564097673	0.026639344	2.271662763	0.224630968	1.570790531	0.037961211	0.0271206	1.192622951	0.213389121
GABARAP	18.133523	4.920071	4.827833	6.016393	12.953162	2.722191	5.468513	1.712512	1.95326	1.165984	15.07113
GAS5	36.10132576	7.87850799	0.07439908	0.93647541	15.98594848	2.571058	12.40687807	0.08869442	1.98759377	3.45901639	0.56066946
GAS7	0.09398674	0.38685613	0.04215948	0.58811475	0.27166276	3.08708542	0.37740063	0.97859508	1.02336988	0.19672131	0.05857741
GASK1B	0.01207386	0.03232682	0.01640595	0.59221311	0.02459016	4.4150454	0.01965163	0.02554399	0.06001154	0.10040984	0.05020921
GBP5	10.92874053	3.522202487	0.005627623	0.028688525	0.06088993	0.148601075	0.15319339	0.02897351	3.008078477	0.243852459	0.020920502
GCA	3.266572	0.444405	0.2147081	1.6946721	2.1065574	7.5759372	3.7798124	11.916982	0.3315061	1.1393443	0.5439331
GCSAM	0.7260890152	0.0404973357	0.0009538344	0.006147541	0.4695550351	0.0017911185	0.5837427423	0.0014191107	0.0161569533	0.2069672131	0
GDPD5	0.8006628788	0.8809946714	0.0344334224	0.0327868852	0.037470726	0.1150021617	0.0937918714	0.0003547777	0.1353144836	0.0266393443	0.0083682008
GIMAP1	11.155776515	2.312611012	0.013544449	0.37295082	0.022248244	1.603915756	0.014292095	0.008514664	1.85949221	0.06352459	0.012552301
GIMAP5	2.1221590909	0.4859680284	0.0009538344	0.0532786885	0.0035128806	0.0450250139	0.0017865118	0.0003547777	0.1719561454	0.0040983607	0
GLDC	0.003314394	0.001065719	0.0004769172	0	0.00234192	0.001544068	0.000446628	0.0007095553	0.0008655511	0.7909836	14.64017
GLO1	5.870501894	1.159857904	0.019172072	0.211065574	3.381733021	0.656599345	6.147833854	0.009697256	0.517888055	3.846311475	0.305439331
GLT1D1	0.010890152	0.021669627	0.014498283	0.153688525	0.007025761	0.626582669	0.006699419	0.849929044	0.029140219	0.057377049	0.075313808
GNAL	0.2990056818	0.0319715808	0.0003815338	0	0.0070257611	0.0269903033	0.0120589549	0.0022469253	0.1350259665	0.0081967213	0
GNAO1	0.045217803	0.203197158	0.001144601	0	0.011709602	0.003520474	0.003126396	0.001773888	0.079630698	0.022540984	0.054393305
GNG11	0.15956439	0.19680284	0.24971385	0.03278689	0.19789227	0.45253536	0.23760607	0.11033586	0.2016734	0.31557377	490.26778243
GNLY	20.88707386	160.69982238	0.47892026	0.01229508	0.18735363	0.25199185	0.17820456	0.04943236	131.31852279	1.51434426	0.43096234
GOLGA8O	0	0.014564831	0	0	0	0.000432339	0.000446628	0	0.013848817	0	0
GPAT3	0.978693182	0.011012433	0.003910721	0.026639344	0.005854801	0.247606695	0.001786512	0.536896878	0.012694749	0.016393443	0
GPBAR1	0.004971591	0.005328597	0.00553224	0.268442623	0.008196721	0.634550059	0.001786512	0.010761589	0.010098096	0.032786885	0.008368201
GPR155	3.311316288	0.38365897	0.005055322	0.088114754	0.31147541	0.458155766	0.541313086	0.679517502	0.233698788	0.319672131	0.020920502
GPR171	15.86979	1.984725	0.0006676841	0	0.003512881	0.003335186	0.007592675	0.008514664	0.1373341	0.01434426	0.0041841
GPR183	40.92069129	5.50337478	0.01421213	0.03893443	30.19437939	0.53647088	3.16793211	0.00307474	0.89296018	1.05737705	0.0460251
GPR55	0.0248579545	0.0753108348	0.0001907669	0	0.0093676815	0.0020381694	0.0008932559	0.0002365184	0.0011540681	0.0245901639	0.0209205021
GPR65	2.81510417	4.73996448	0.01011064	0.2192623	1.19086651	0.75307269	0.63689147	0.21050142	2.11050202	0.25204918	0.0167364
GPX1	17.136364	3.866075	55.897081	9.268443	24.30445	31.586684	8.394372	1.098983	2.221581	9.678279	1973.012552
GPX4	18.2741477	6.3307282	2.2489508	1.807377	12.4519906	6.3661293	7.5020098	0.1970199	2.3690133	4.5204918	221.9121339
GRK3	0.133049242	0.025932504	0.009824494	0.211065574	2.097189696	2.350935705	1.556498437	0.041745506	0.038084247	0.219262295	0.138075314
GSDMA	0.0958806818	0.1609236234	0.0001907669	0	0	0.0008029152	0.0026797678	0.0005912961	0.2971725332	0.0020491803	0.0209205021
GSTP1	12.124053	12.7268206	0.1787486	5.1209016	4.7681499	11.9511457	7.919607	0.1603595	7.0057703	17.6782787	19.041841
GUK1	36.2156723	16.6653641	87.909958	1.1209016	8.6896956	4.8628868	3.1062975	0.4174551	3.8854587	8.9159836	35.5774059
GYPE	0.0007102273	0.0063943162	0.0975772606	0	0.0117096019	0.0016058304	0.0098258151	0.0003547777	0.0031736872	0.018442623	0.0083682008
GZMA	8.423058712	32.477087034	0.041491797	0	0.030444965	0.038231116	0.025011166	0.005203406	15.782169648	0.174180328	0.033472803
GZMB	7.675662879	43.346714032	0.04711942	0	0.022248244	0.034401828	0.035730237	0.004848628	34.276110791	0.362704918	0.041841004
GZMH	2.826468	30.79254	0.01030141	0	0.009367681	0.01377308	0.01027244	0.0009460738	8.095499	0.1168033	0.0209205
GZMK	6.0667613636	7.578330373	0.0043876383	0	0.0011709602	0.0079056266	0.0116123269	0.0009460738	1.474610502	0.0655737705	0
GZMM	4.3063447	5.34529307	0.03309805	0	0.02459016	0.0223581	0.02099151	0.00603122	3.7169648	0.0942623	0.0209205
H1.10	3.2133049	4.0209591	0.2474246	0.6331967	1.7985948	6.1892409	2.7847253	0.679281	3.7775534	11.9303279	0.4644351
H1.2	4.1205019	2.7946714	10.2694582	0.1618852	1.4765808	0.8457168	0.9629299	0.1749054	2.7553376	20.8688525	57.1046025
H1.3	3.51231061	5.21278863	0.06285769	0.15368852	1.22131148	0.85825459	1.17195176	0.09283349	4.43364108	21.41803279	0.08368201
H1.4	2.7604167	7.5687389	0.2004006	0.4795082	2.3032787	1.2104873	1.9857079	0.2631268	5.3361223	23.5184426	0.3723849
H2AC6	0.6602746	0.4117229	1.6372568	0.1065574	0.4156909	0.8410228	0.984368	0.8505203	0.4010387	2.022541	473.5271967
H3C8	0.0097064394	0.1296625222	0.0037199542	0	0.0011709602	0.0009264406	0	0.0080416272	0.0051933064	4.3442622951	0.0083682008
HAL	0.004971591	0.027353464	0.007058375	0.038934426	0.019906323	0.320054351	0.079499777	0.408822138	0.012694749	0.155737705	0.029288703
HAPLN3	3.282907197	0.4419182948	0.0018122854	0.0020491803	0.0081967213	0.0970909765	0.1978561858	0.0002365184	0.2833237161	0.0348360656	0
HBA1	6.661932	10.41101	1534.24	0.004098361	10.60304	19.20579	7.583743	3.724219	11.74062	77.22951	7.012552
HBA2	45.09683	18.59893	4433.556	0.006147541	18.81382	29.61719	13.81867	6.633515	20.70138	135.7029	10.36402
HBB	215.1435	66.43908	16431.16	0.1598361	53.06909	122.1023	39.00893	21.86956	70.2813	395.7746	29.33891
HBEGF	0.1484375	0.007815275	0.005150706	0.004098361	0.003512881	0.558149589	0	0.030156102	0.012117715	0.032786885	0.0041841
HDDC2	7.01633523	2.58863233	0.0132583	0.15778689	1.55971897	0.49465753	1.67217508	0.01300851	2.06376226	1.78893443	0.08368201
HEBP2	1.078125	1.08170515	0.06152232	0.19057377	1.24941452	2.22450744	0.41581063	1.20659886	0.40305828	3.1454918	0.29707113
HES6	0.137784091	0.071047957	0.054273178	0.006147541	0.038641686	0.142610092	0.025011166	0.002246925	0.425274091	0.125	0.008368201
HHAT	0.0258049242	0.0234458259	0.0001907669	0.0040983607	0.0409836066	0.0144524736	0.0071460473	0.0002365184	0.0040392383	0.0409836066	0
HLA.DMA	1.691761364	1.204262877	0.083078977	0.770491803	29.774004684	2.243962695	14.027690933	0.003784295	0.168493941	1.319672131	0.050209205
HLA.DMB	0.096827652	0.255417407	0.015547501	0.356557377	12.160421546	1.187017479	9.395712372	0.001300851	0.266878246	0.143442623	0
HLA.DOA	0.186316288	0.009591474	0.002384586	0.010245902	1.163934426	0.016243592	1.281822242	0	0.004039238	0.06557377	0
HLA.DPA1	3.392992424	3.201065719	0.039584128	2.379098361	64.544496487	4.009820271	27.507815989	0.006977294	1.261107905	5.178278689	0.10460251
HLA.DPB1	5.96401515	6.98401421	0.04254101	1.54508197	72.16978923	2.17299734	29.94640464	0.01691107	1.48903635	2.45696721	0.0460251
HLA.DQA2	0.0068655303	0.0195381883	0.0002861503	0.0286885246	0.5690866511	0.0308195911	0.3380973649	0.0003547777	0.0069244085	0.3606557377	0
HLA.DRA	1.27012311	0.64618117	0.09919878	4.67622951	118.70023419	9.48230498	63.29834748	0.012772	0.46999423	4.10245902	0.07531381
HLA.DRB1	0.61316288	0.55452931	0.02785196	1.32172131	16.92740047	2.80643567	6.86288522	0.10678808	0.25245239	3.0102459	0.041841
HLX	0.00875947	0.01634103	0.01287676	0.1147541	0.10187354	0.85158421	0.12282269	0.3140965	0.0288517	0.06147541	0.0251046
HMGN3	22.146543561	7.353108348	0.031858069	0.653688525	12.634660422	1.913038108	5.568110764	0.006622517	5.551067513	4.842213115	0.439330544
HMOX1	0.69152462	0.05648313	0.01964899	2.64959016	0.14168618	4.67074301	0.01295221	0.01691107	0.06924409	0.32377049	0.0041841
HNRNPA1P34	0.2294034	1.390409	9.538344e-05	0	0.00117096	0.0006793898	0	0	0.1748413	0.004098361	0
HNRNPLL	6.63304924	0.53641208	0.00553224	0.03688525	0.05503513	0.31190167	0.01429209	0.25780511	0.02077323	0.08401639	0.22175732
HNRNPU	12.2826705	8.0628774	0.1283861	1.0594262	6.1428571	6.5390649	4.2603841	1.4267975	5.5929025	17.1147541	1.0669456
HOMER3	0.221117424	0.008525755	0.00915681	0.159836066	0.957845433	1.373479093	0.008485931	0.178571429	0.014714368	0.422131148	0.008368201
HOPX	4.81912879	15.20142096	0.02718428	0.10860656	2.26580796	0.28843184	0.44439482	0.01265374	12.42325447	0.13729508	0.05439331
HRH2	0.80729167	0.03907638	0.08193438	0.79098361	0.03044496	2.55722315	0.02188477	1.67147588	0.07472591	0.12295082	0.08786611
HSP90B1	28.3517992	15.1346359	0.5862266	0.8934426	12.9555035	4.9518251	7.4582403	0.2161779	5.008367	130.7581967	2.1464435
